es,var,study_id,factor_1,factor_2,factor_3
-0.248097559498556,0.00404061936896255,7714,Randomized School, Aggression/Bullying, Public
-0.166722028749043,0.00415483803266798,7714,Randomized School, Cyberbullying, Public
-0.166666938028264,0.00390749529210597,7714,Randomized School, Cyberbullying, Public
0.0251731647149704,0.0017530882866999,7712,Non-Randomized School, Cyberbullying, Mixture
-0.0537133447592222,0.00190372024790897,7712,Non-Randomized School, Cyberbullying, Mixture
-0.10455985815462,0.0437125732255227,1310,Non-Randomized School, Cyberbullying, Mixture
0.0119401208068106,0.0434589811255798,1310,Non-Randomized School, Cyberbullying, Mixture
-0.0151279389911774,0.02618524756527,1310,Non-Randomized School, Cyberbullying, Mixture
-0.201676356106617,0.0264630977659638,1310,Non-Randomized School, Cyberbullying, Mixture
-0.174240401614929,0.0173646852103152,7563,Non-Randomized Class, Cyberbullying, Mixture
-0.0266961280575825,0.0222086090882759,7563,Non-Randomized Class, Cyberbullying, Mixture
0.0431811409323185,0.0219574288734614,7563,Non-Randomized Class, Cyberbullying, Mixture
-0.0293283629495134,0.0261471218180978,7563,Non-Randomized Class, Cyberbullying, Mixture
0.071063162533058,0.0158366536435868,7563,Non-Randomized Class, Cyberbullying, Mixture
0.148843305040973,0.0204173165501446,7563,Non-Randomized Class, Cyberbullying, Mixture
0.0400536509217032,0.0203124013772572,7563,Non-Randomized Class, Cyberbullying, Mixture
0.0443811877911144,0.024296010800454,7563,Non-Randomized Class, Cyberbullying, Mixture
0.0973881360236297,0.0134227322582244,7563,Non-Randomized Class, Aggression/Bullying, Mixture
0.17543361603885,0.0166673574779317,7563,Non-Randomized Class, Aggression/Bullying, Mixture
0.0391515141928378,0.0168705604973313,7563,Non-Randomized Class, Aggression/Bullying, Mixture
0.116874146346903,0.0197467749673449,7563,Non-Randomized Class, Aggression/Bullying, Mixture
0.205926782740115,0.0148188871119193,7563,Non-Randomized Class, Aggression/Bullying, Mixture
0.177732153050796,0.0190206873605523,7563,Non-Randomized Class, Aggression/Bullying, Mixture
0.0945816448176044,0.0186582961005783,7563,Non-Randomized Class, Aggression/Bullying, Private
0.0787307370443714,0.0225015596840081,7563,Non-Randomized Class, Aggression/Bullying, Mixture
-0.0431250357579948,0.0178193420943389,7563,Non-Randomized Class, Aggression/Bullying, Mixture
0.0762739381381111,0.0226280015478906,7563,Non-Randomized Class, Aggression/Bullying, Mixture
-0.0129012428104576,0.0224867874614206,7563,Non-Randomized Class, Aggression/Bullying, Private
0.0167080020908991,0.026787666373435,7563,Non-Randomized Class, Aggression/Bullying, Mixture
-0.0764358667093444,0.0186202171670615,7563,Non-Randomized Class, Aggression/Bullying, Mixture
-0.0218114189498371,0.0238156730596741,7563,Non-Randomized Class, Aggression/Bullying, Mixture
-0.0698896097727411,0.0211043364385733,7563,Non-Randomized Class, Aggression/Bullying, Mixture
0.0509334381021411,0.0282386215092563,7563,Non-Randomized Class, Aggression/Bullying, Mixture
0.0812859781412695,0.0288503958591562,7563,Non-Randomized Class, Relational Aggression, Mixture
0.127499046410244,0.0369223628953443,7563,Non-Randomized Class, Relational Aggression, Mixture
-0.168831792761527,0.0365850278950027,7563,Non-Randomized Class, Relational Aggression, Private
-0.0182206524755268,0.0439209289469849,7563,Non-Randomized Class, Relational Aggression, Mixture
0.137266771504669,0.0187539940514766,7563,Non-Randomized Class, Relational Aggression, Private
0.124211414506922,0.0237494413952054,7563,Non-Randomized Class, Relational Aggression, Mixture
-0.102405119290181,0.0239445562330386,7563,Non-Randomized Class, Relational Aggression, Mixture
-0.0990062521989661,0.0284514486116046,7563,Non-Randomized Class, Relational Aggression, Mixture
-0.0577043480217664,0.0175764687155571,7563,Non-Randomized Class, Aggression/Bullying, Mixture
-0.0179159865103679,0.0225737317054237,7563,Non-Randomized Class, Aggression/Bullying, Mixture
-0.0903847381910843,0.0223421331637425,7563,Non-Randomized Class, Aggression/Bullying, Private
-0.0478468554933274,0.0267030293960119,7563,Non-Randomized Class, Aggression/Bullying, Mixture
0.107035821290332,0.0185007498781992,7563,Non-Randomized Class, Aggression/Bullying, Mixture
0.0815083745177369,0.0236817449022056,7563,Non-Randomized Class, Aggression/Bullying, Mixture
